day_index,date,history_days_used,candidate,method,quantile,margin_kw,historical_score,realized_candidate_score,mae_kw,daily_energy_error_kwh
35,2025-02-05,35,mean14_q80,mean14,0.8,3.8619750000000006,2859.9685641220044,3592.7093096304184,92.25732269345238,-389.9726482142838
36,2025-02-06,36,mean14_q80,mean14,0.8,3.4292345454545536,2883.2964230427847,1964.0330498231306,63.23344070165945,-876.9478651082233
37,2025-02-07,37,mean14_q80,mean14,0.8,2.5468504761904804,2779.055791803426,4746.557168646158,166.0249344047619,-2878.7381469841257
38,2025-02-08,38,mean14_q80,mean14,0.8,2.0298685714285716,2877.611436069337,3500.4316503424525,129.02219152777786,-2404.4839823809552
39,2025-02-09,39,weighted30_q80,weighted30,0.8,0.09191938011696037,2876.2963171937135,4177.0861160593595,116.52469398894593,-846.3695808367629
40,2025-02-10,40,weighted30_q80,weighted30,0.8,0.08577200000000039,2907.2973111612064,4666.297069334105,244.74288047401444,-5872.513968523299
41,2025-02-11,41,mean14_q80,mean14,0.8,0.20625142857142886,3003.426687914754,2877.9760390307392,152.15677757936515,-3650.4751414285734
42,2025-02-12,42,mean14_q80,mean14,0.8,0.04025714285714398,3024.018741865182,2738.137852288215,135.18269102182538,-3046.0734654761895
43,2025-02-13,43,mean14_q80,mean14,0.8,0.06941428571428625,3018.6340025856653,5445.607348106073,282.6750564484129,-6783.192678571431
44,2025-02-14,44,mean14_q80,mean14,0.8,0.03528571428571431,3138.748901978228,3484.5514203953535,134.1872790674603,-2321.931371428576
45,2025-02-15,45,mean14_q80,mean14,0.8,0.020575714285714367,3183.234186786882,2724.8774406608336,121.29069841269842,-2680.717341428572
46,2025-02-16,46,mean14_q80,mean14,0.8,0.012207142857142857,3190.410949318202,4113.022141522976,125.8649043154762,-1459.507574999999
47,2025-02-17,47,mean14_q80,mean14,0.8,0.013414285714285771,3250.163983070946,4424.773112485833,216.41824975198404,-5154.297953571426
48,2025-02-18,48,mean14_q80,mean14,0.8,0.008222857142857153,3323.098077400666,3554.8720989322373,172.17190717261894,-4089.7748845238066
49,2025-02-19,49,weighted14_q80,weighted14,0.8,0.4038167619047703,3344.6063220141777,2732.2633285054435,112.30700806746033,-2016.2292101904752
50,2025-02-20,50,weighted14_q80,weighted14,0.8,0.41302,3358.8695462553424,3209.8765998825374,131.95554033068777,-2713.8523358730154
51,2025-02-21,51,weighted14_q80,weighted14,0.8,0.6225304761904785,3332.651426316173,1897.018647215666,98.9849258465608,-2342.405186349205
52,2025-02-22,52,weighted14_q80,weighted14,0.8,0.1124390476190487,3276.5865338620724,4004.2852705425576,70.38156671957674,511.12253460317544
53,2025-02-23,53,weighted14_q80,weighted14,0.8,0.1124390476190487,3280.467498759671,3576.4220534945257,112.95122399470898,-1194.9186593650777
54,2025-02-24,54,weighted14_q80,weighted14,0.8,0.1845813333333709,3327.065035981302,3204.9295778166424,157.577334142857,-3743.2680848888854
55,2025-02-25,55,weighted14_q80,weighted14,0.8,0.22007523809523807,3320.2865812961923,4737.637185015967,250.87274800264544,-6018.71589079365
56,2025-02-26,56,weighted14_q80,weighted14,0.8,0.08339104761904802,3346.56863833387,3531.480708177104,120.63155862037041,-2090.625165238096
57,2025-02-27,57,weighted14_q80,weighted14,0.8,0.18586209523820793,3369.1384225380125,3798.6034034708455,159.19239172883601,-3078.296188349206
58,2025-02-28,58,weighted14_q80,weighted14,0.8,0.12327771428571604,3420.827929586446,3767.008497917754,106.24716225925926,-988.7890390476205
59,2025-03-01,59,weighted14_q80,weighted14,0.8,0.2080752380952383,3406.0853948214367,11313.744753972964,153.59614495370363,2814.0394569841264
60,2025-03-02,60,mean14_q80,mean14,0.8,0.003191428571428612,3668.453243794074,16465.051025310084,248.2645650892856,4924.257542619043
61,2025-03-03,61,mean14_q80,mean14,0.8,0.015085714285714296,4134.322078449525,15031.216256515721,199.81898422619054,4456.220933333335
62,2025-03-04,62,weighted30_q80,weighted30,0.8,0.0010119569892473122,4571.630753201849,4180.357185249652,97.98318946953401,-42.257234322577915
63,2025-03-05,63,weighted30_q80,weighted30,0.8,0.007865032258064529,4607.639480136784,4749.917119676797,166.56360526463564,-2941.2156829964188
64,2025-03-06,64,weighted30_q85,weighted30,0.85,1.384642795698925,4667.483697254824,2659.5778921513966,112.84593824074062,-2461.6672144802833
65,2025-03-07,65,weighted14_q85,weighted14,0.85,109.68342914285708,4645.979509834332,3578.5967521775465,118.34622600396818,-1798.9943724126954
66,2025-03-08,66,weighted14_q85,weighted14,0.85,105.05720647619061,4653.520866287375,3523.954922148894,176.21529012301596,-4229.166962952383
67,2025-03-09,67,weighted14_q85,weighted14,0.85,92.07723476190586,4711.174051391089,3776.758673487493,200.08809840277823,-4789.840278809535
68,2025-03-10,68,weighted14_q80,weighted14,0.8,2.2268474285716153,4675.024845753922,6620.003008869864,144.06113278174598,1158.6669524126949
69,2025-03-11,69,weighted14_q85,weighted14,0.85,99.92953071428562,4753.413925501501,3838.8328921555512,170.50877503472222,-3792.322069960317
70,2025-03-12,70,weighted14_q85,weighted14,0.85,84.68804428571343,4733.156142969587,4430.991129686294,224.98953533399435,-5399.7488480158645
71,2025-03-13,71,weighted14_q80,weighted14,0.8,3.5712695238095487,4722.043774666236,10472.229153400505,209.32130722222226,1156.3490073015857
72,2025-03-14,72,weighted14_q85,weighted14,0.85,104.82130161904782,4952.311568834596,4490.125728604682,233.18595906944444,-5458.889144174603
73,2025-03-15,73,weighted14_q85,weighted14,0.85,105.3390704761905,5005.839424188863,7756.276054484858,188.61429112433862,-501.83763968254
74,2025-03-16,74,weighted14_q85,weighted14,0.85,131.96345723809554,5080.024955026969,3995.374030451185,173.05500276785722,-3563.6341607777813
75,2025-03-17,75,weighted14_q85,weighted14,0.85,130.38573652381092,5082.466057178829,6749.370273310135,346.91851849305624,-8326.044443833349
76,2025-03-18,76,weighted14_q85,weighted14,0.85,122.6919364285713,5219.889848844372,5023.828655844352,185.52069165839941,-3501.5709495634896
77,2025-03-19,77,weighted30_q80,weighted30,0.8,0.009350623655914015,5224.969388281946,5079.876765037653,234.493102885006,-5125.968416293909
78,2025-03-20,78,weighted30_q80,weighted30,0.8,0.010045118279569906,5227.812593749885,2659.9977779367323,114.12603131899647,-2354.366780688175
79,2025-03-21,79,weighted30_q80,weighted30,0.8,0.012533290322580659,5179.316932985405,5573.100062769867,302.6905240325567,-7250.7269769247305
80,2025-03-22,80,weighted30_q80,weighted30,0.8,0.0122604731182796,5261.446447837912,3442.370021666166,127.62769309050184,-2205.0331589892508
81,2025-03-23,81,weighted30_q80,weighted30,0.8,0.014969591397849502,5233.300491984133,5318.615518088275,225.09985058094378,-4893.733736250895
82,2025-03-24,82,weighted30_q80,weighted30,0.8,0.07221027956989275,5286.349231245216,4207.858628756515,211.95307783841096,-4949.811075777777
83,2025-03-25,83,weighted30_q80,weighted30,0.8,0.014846494623655926,5358.679487791451,5203.953021134692,159.27153379659492,-2213.618131734763
84,2025-03-26,84,weighted30_q80,weighted30,0.8,0.06216279569892473,5403.158538088305,5583.982194016711,291.1629940337515,-6986.328476308243
85,2025-03-27,85,weighted30_q80,weighted30,0.8,0.06373612903225842,5425.734602024992,3110.524209424021,157.90420212216245,-3565.877584480285
86,2025-03-28,86,weighted30_q80,weighted30,0.8,0.07756335483870937,5310.016554231582,4073.510393571253,214.3382826574073,-5062.745030659493
87,2025-03-29,87,weighted30_q80,weighted30,0.8,0.08039333333333343,5310.655227552153,6454.960884066172,332.9267476075269,-7956.5575736200735
88,2025-03-30,88,weighted30_q80,weighted30,0.8,0.07612886021505476,5386.1955528269045,4730.897244074989,238.49546852210284,-5550.5221373906825
89,2025-03-31,89,weighted30_q80,weighted30,0.8,0.0667576344086025,5407.647302204112,6756.781785618625,192.4647163649941,-2518.4239157706093
90,2025-04-01,90,weighted30_q80,weighted30,0.8,0.026182365591400403,5397.159181826768,8093.964075727827,210.44023244026286,169.67323885304975
91,2025-04-02,91,weighted30_q80,weighted30,0.8,0.011494150537634399,5195.308779537763,12575.40682844268,245.3482170092592,520.988066903222
92,2025-04-03,92,weighted30_q80,weighted30,0.8,0.008606279569892463,5250.085039646767,4244.680644735105,184.2314078243727,-3844.204049677416
93,2025-04-04,93,weighted30_q80,weighted30,0.8,0.006187268817204306,5252.229154962948,5618.962126627872,281.73847286648754,-6760.398306415773
94,2025-04-05,94,mean14_q80,mean14,0.8,0.16330142857142801,5252.740415562234,6213.282483559495,134.57837912698406,-289.9056033333354
95,2025-04-06,95,mean14_q80,mean14,0.8,0.17656000000000002,5365.284312286474,2848.8581925273343,113.1094355654762,-2205.164867380951
96,2025-04-07,96,mean14_q80,mean14,0.8,0.12651000000000145,5292.568131683147,6743.999439314024,212.18720668650798,-2908.3503095238107
97,2025-04-08,97,weighted30_q80,weighted30,0.8,0.005445376344086017,5433.164010452762,3238.473457193578,153.24082734916374,-3326.440532724015
98,2025-04-09,98,weighted30_q80,weighted30,0.8,0.005856387096774202,5423.306252662502,9973.287629136928,178.27102884557942,1820.3373001648736
99,2025-04-10,99,weighted30_q80,weighted30,0.8,0.007847827956989252,5546.239089467957,4818.318521427051,169.77967529091993,-2844.766533118277
100,2025-04-11,100,weighted30_q80,weighted30,0.8,0.007439784946236558,5585.389832015305,5084.188478613036,255.45293454002407,-6129.895927526884
101,2025-04-12,101,weighted30_q80,weighted30,0.8,0.00735750537634416,5616.299061378086,6156.72856345519,181.70846320609314,-1795.0145866666671
102,2025-04-13,102,weighted30_q80,weighted30,0.8,0.006892645161290321,5473.208890731475,3541.1341646872665,111.97296297939066,-1649.9733004659493
103,2025-04-14,103,weighted30_q80,weighted30,0.8,0.008265419354838712,5447.017224094267,4111.411260443443,178.04667593966553,-3818.4117635268835
