day_index,date,history_days_used,candidate,method,quantile,margin_kw,historical_score,realized_candidate_score,mae_kw,daily_energy_error_kwh
52,2025-02-22,52,weighted14_q80,weighted14,0.8,0.1124390476190487,3648.2615506015436,3256.9276950714616,70.38156671957674,511.12253460317544
53,2025-02-23,53,weighted14_q80,weighted14,0.8,0.1124390476190487,3573.59422637251,4171.399622687081,112.95122399470898,-1194.9186593650777
54,2025-02-24,54,weighted14_q80,weighted14,0.8,0.1845813333333709,3644.3143138280766,3480.3837593915086,157.577334142857,-3743.2680848888854
55,2025-02-25,55,weighted14_q80,weighted14,0.8,0.22007523809523807,3655.225719729411,4921.568835167966,250.87274800264544,-6018.71589079365
56,2025-02-26,56,weighted14_q80,weighted14,0.8,0.08339104761904802,3638.3349808309963,3811.40689785819,120.63155862037041,-2090.625165238096
57,2025-02-27,57,weighted14_q80,weighted14,0.8,0.18586209523820793,3644.4302416317214,4148.931020647696,159.19239172883601,-3078.296188349206
58,2025-02-28,58,weighted14_q80,weighted14,0.8,0.12327771428571604,3682.3826195490883,2981.9654697702754,106.24716225925926,-988.7890390476205
59,2025-03-01,59,weighted14_q80,weighted14,0.8,0.2080752380952383,3604.9694836171448,8927.765853567013,153.59614495370363,2814.0394569841264
60,2025-03-02,60,mean14_q80,mean14,0.8,0.003191428571428612,3789.361839091485,19301.47174637461,248.2645650892856,4924.257542619043
61,2025-03-03,61,mean14_q80,mean14,0.8,0.015085714285714296,4352.534907354139,17217.084769879053,199.81898422619054,4456.220933333335
62,2025-03-04,62,weighted30_q80,weighted30,0.8,0.0010119569892473122,4846.82077843997,4845.9260913355965,97.98318946953401,-42.257234322577915
63,2025-03-05,63,weighted30_q85,weighted30,0.85,1.1551410322580682,4886.173283621241,5125.247103816276,166.91919709289132,-2955.186385154123
64,2025-03-06,64,weighted30_q85,weighted30,0.85,1.384642795698925,4937.386039634828,2809.099891783332,112.84593824074062,-2461.6672144802833
65,2025-03-07,65,weighted14_q85,weighted14,0.85,109.68342914285708,4894.333250097683,2738.2511064987943,118.34622600396818,-1798.9943724126954
66,2025-03-08,66,weighted14_q85,weighted14,0.85,105.05720647619061,4844.83428988852,2563.843119607389,176.21529012301596,-4229.166962952383
67,2025-03-09,67,weighted14_q85,weighted14,0.85,92.07723476190586,4858.869525801743,3919.6371980505887,200.08809840277823,-4789.840278809535
68,2025-03-10,68,weighted14_q85,weighted14,0.85,81.98085066666505,4859.598608832596,7083.04050797195,150.69298005555538,244.6098948571628
69,2025-03-11,69,weighted14_q85,weighted14,0.85,99.92953071428562,4989.545554282073,4023.2419479285154,170.50877503472222,-3792.322069960317
70,2025-03-12,70,weighted14_q85,weighted14,0.85,84.68804428571343,4936.094846342972,4542.829799523404,224.98953533399435,-5399.7488480158645
71,2025-03-13,71,weighted14_q85,weighted14,0.85,84.4208604285708,4914.9412172358525,11461.011482158357,218.99790493749998,224.86187538889868
72,2025-03-14,72,weighted14_q85,weighted14,0.85,104.82130161904782,5172.242601245428,3077.1532563666246,233.18595906944444,-5458.889144174603
73,2025-03-15,73,weighted14_q85,weighted14,0.85,105.3390704761905,5163.2567458887115,6022.935606884524,188.61429112433862,-501.83763968254
74,2025-03-16,74,weighted14_q85,weighted14,0.85,131.96345723809554,5162.953130474761,4189.6792756843415,173.05500276785722,-3563.6341607777813
75,2025-03-17,75,weighted14_q85,weighted14,0.85,130.38573652381092,5196.600912126278,6616.5275642362585,346.91851849305624,-8326.044443833349
76,2025-03-18,76,weighted14_q85,weighted14,0.85,122.6919364285713,5346.030821369371,5251.152783813031,185.52069165839941,-3501.5709495634896
77,2025-03-19,77,weighted14_q85,weighted14,0.85,120.68658928571527,5349.935533983574,5424.8407765043285,227.99489186011942,-4765.484609801597
78,2025-03-20,78,weighted30_q80,weighted30,0.8,0.010045118279569906,5339.927053840579,2757.4664217130526,114.12603131899647,-2354.366780688175
79,2025-03-21,79,weighted30_q80,weighted30,0.8,0.012533290322580659,5278.876071511007,3567.455875639327,302.6905240325567,-7250.7269769247305
80,2025-03-22,80,weighted30_q80,weighted30,0.8,0.0122604731182796,5281.640086631716,2491.313418483889,127.62769309050184,-2205.0331589892508
81,2025-03-23,81,weighted30_q80,weighted30,0.8,0.014969591397849502,5208.126541966099,5268.7259109524475,225.09985058094378,-4893.733736250895
82,2025-03-24,82,weighted30_q80,weighted30,0.8,0.07221027956989275,5287.8304071013945,4187.423722598654,211.95307783841096,-4949.811075777777
83,2025-03-25,83,weighted30_q80,weighted30,0.8,0.014846494623655926,5371.615810387592,5299.24543904384,159.27153379659492,-2213.618131734763
84,2025-03-26,84,weighted30_q80,weighted30,0.8,0.06216279569892473,5401.32037485677,5265.910438008034,291.1629940337515,-6986.328476308243
85,2025-03-27,85,weighted30_q80,weighted30,0.8,0.06373612903225842,5398.871473269824,3125.1148480468387,157.90420212216245,-3565.877584480285
86,2025-03-28,86,weighted30_q80,weighted30,0.8,0.07756335483870937,5274.339627564028,2589.338605333639,214.3382826574073,-5062.745030659493
87,2025-03-29,87,weighted30_q80,weighted30,0.8,0.08039333333333343,5214.593328407332,3993.4231538688,332.9267476075269,-7956.5575736200735
88,2025-03-30,88,weighted30_q80,weighted30,0.8,0.07612886021505476,5199.17470398053,4625.997651426127,238.49546852210284,-5550.5221373906825
89,2025-03-31,89,weighted30_q80,weighted30,0.8,0.0667576344086025,5246.898810481928,6787.33175290583,192.4647163649941,-2518.4239157706093
90,2025-04-01,90,weighted30_q80,weighted30,0.8,0.026182365591400403,5287.724825582557,8946.751438942856,210.44023244026286,169.67323885304975
91,2025-04-02,91,weighted30_q80,weighted30,0.8,0.011494150537634399,5030.893515673821,13308.458746626715,245.3482170092592,520.988066903222
92,2025-04-03,92,weighted30_q80,weighted30,0.8,0.008606279569892463,5056.219920418863,4132.975834370358,184.2314078243727,-3844.204049677416
